epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,93.383,1.16517,5.29632,1.07225,0.11229,0.06254,0.15062,0.08196,0.06287,0.83146,4.37886,0.89545,0,2.69189e-05,2.69189e-05,2.69189e-05,1.34595e-05
2,173.041,1.02691,3.57745,0.975,0.06718,0.57745,0.22389,0.2353,0.19424,0.75599,2.35854,0.88131,0,5.28513e-05,5.28513e-05,5.28513e-05,2.64257e-05
3,254.91,0.93975,2.03576,0.96342,0.04731,0.51353,0.40002,0.39388,0.33439,0.6659,1.39152,0.86287,0,7.77145e-05,7.77145e-05,7.77145e-05,3.88573e-05
4,336.904,0.84282,1.44167,0.94174,0.03766,0.47582,0.57953,0.54275,0.46781,0.60586,1.01177,0.84631,0,7.61886e-05,7.61886e-05,7.61886e-05,3.80943e-05
5,418.863,0.7794,1.19101,0.9227,0.03394,0.59393,0.63692,0.62292,0.53683,0.59395,0.87177,0.83951,0,7.45848e-05,7.45848e-05,7.45848e-05,3.72924e-05
6,499.161,0.73098,1.04494,0.90377,0.03373,0.67849,0.66951,0.69071,0.6,0.54584,0.75633,0.82631,0,7.2981e-05,7.2981e-05,7.2981e-05,3.64905e-05
7,577.598,0.70094,0.93435,0.89125,0.03398,0.71338,0.69806,0.73229,0.63606,0.52538,0.69471,0.82225,0,7.13772e-05,7.13772e-05,7.13772e-05,3.56886e-05
8,653.585,0.68996,0.88263,0.88702,0.03387,0.79952,0.73538,0.77428,0.67571,0.51309,0.62826,0.81881,0,6.97734e-05,6.97734e-05,6.97734e-05,3.48867e-05
9,729.815,0.67282,0.83254,0.8831,0.03381,0.82244,0.75289,0.80419,0.70778,0.49552,0.58437,0.81653,0,6.81696e-05,6.81696e-05,6.81696e-05,3.40848e-05
10,804.581,0.65063,0.78984,0.87758,0.0339,0.81073,0.77294,0.81236,0.70866,0.4925,0.56166,0.8153,0,6.65658e-05,6.65658e-05,6.65658e-05,3.32829e-05
11,879.693,0.63595,0.75106,0.87306,0.0338,0.86486,0.76888,0.8306,0.73001,0.48935,0.53522,0.81419,0,6.4962e-05,6.4962e-05,6.4962e-05,3.2481e-05
12,956.037,0.62875,0.7293,0.86734,0.03369,0.85555,0.79508,0.83997,0.74078,0.47585,0.50988,0.81114,0,6.33582e-05,6.33582e-05,6.33582e-05,3.16791e-05
